# Created by CAVA2.0.11 based on MANE release 1.1
GENEID	SYMBOL	Transcript	Protein
SMYD2	SMYD2	NM_020197.3	NP_064582.2
PTPN14	PTPN14	NM_005401.5	NP_005392.2
CENPF	CENPF	NM_016343.4	NP_057427.3
KCNK2	KCNK2	NM_001017425.3	NP_001017425.2
KCTD3	KCTD3	NM_016121.5	NP_057205.2
USH2A	USH2A	NM_206933.4	NP_996816.3
ESRRG	ESRRG	NM_001438.4	NP_001429.2
GPATCH2	GPATCH2	NM_018040.5	NP_060510.1
SPATA17	SPATA17	NM_138796.4	NP_620151.1
RRP15	RRP15	NM_016052.4	NP_057136.2
TGFB2	TGFB2	NM_003238.6	NP_003229.1
LYPLAL1	LYPLAL1	NM_138794.5	NP_620149.2
ZC3H11B	ZC3H11B	NM_001355457.3	NP_001342386.1
SLC30A10	SLC30A10	NM_018713.3	NP_061183.2
EPRS1	EPRS1	NM_004446.3	NP_004437.2
BPNT1	BPNT1	NM_006085.6	NP_006076.4
IARS2	IARS2	NM_018060.4	NP_060530.3
RAB3GAP2	RAB3GAP2	NM_012414.4	NP_036546.2
MARK1	MARK1	NM_018650.5	NP_061120.3
C1orf115	C1orf115	NM_024709.5	NP_078985.3
MTARC2	MTARC2	NM_017898.5	NP_060368.2
MTARC1	MTARC1	NM_022746.4	NP_073583.3
HLX	HLX	NM_021958.4	NP_068777.1
DUSP10	DUSP10	NM_007207.6	NP_009138.1
HHIPL2	HHIPL2	NM_024746.4	NP_079022.2
TAF1A	TAF1A	NM_005681.4	NP_005672.1
MIA3	MIA3	NM_198551.4	NP_940953.2
AIDA	AIDA	NM_022831.4	NP_073742.2
BROX	BROX	NM_144695.4	NP_653296.2
FAM177B	FAM177B	NM_001394345.1	NP_001381274.1
DISP1	DISP1	NM_001377229.1	NP_001364158.1
TLR5	TLR5	NM_003268.6	NP_003259.2
SUSD4	SUSD4	NM_017982.4	NP_060452.3
CCDC185	CCDC185	NM_152610.3	NP_689823.2
CAPN8	CAPN8	NM_001143962.2	NP_001137434.1
CAPN2	CAPN2	NM_001748.5	NP_001739.3
TP53BP2	TP53BP2	NM_001031685.3	NP_001026855.2
FBXO28	FBXO28	NM_015176.4	NP_055991.1
DEGS1	DEGS1	NM_003676.4	NP_003667.1
NVL	NVL	NM_002533.4	NP_002524.2
CNIH4	CNIH4	NM_014184.4	NP_054903.1
WDR26	WDR26	NM_001379403.1	NP_001366332.1
CNIH3	CNIH3	NM_152495.2	NP_689708.1
DNAH14	DNAH14	NM_001367479.1	NP_001354408.1
LBR	LBR	NM_002296.4	NP_002287.2
ENAH	ENAH	NM_018212.6	NP_060682.2
SRP9	SRP9	NM_003133.6	NP_003124.1
EPHX1	EPHX1	NM_001136018.4	NP_001129490.1
TMEM63A	TMEM63A	NM_014698.3	NP_055513.2
LEFTY1	LEFTY1	NM_020997.4	NP_066277.1
PYCR2	PYCR2	NM_013328.4	NP_037460.2
LEFTY2	LEFTY2	NM_003240.5	NP_003231.2
SDE2	SDE2	NM_152608.4	NP_689821.3
H3-3A	H3-3A	NM_002107.7	NP_002098.1
ACBD3	ACBD3	NM_022735.4	NP_073572.2
MIXL1	MIXL1	NM_031944.3	NP_114150.1
LIN9	LIN9	NM_001366245.2	NP_001353174.1
PARP1	PARP1	NM_001618.4	NP_001609.2
STUM	STUM	NM_001003665.4	NP_001003665.1
ITPKB	ITPKB	NM_002221.4	NP_002212.3
PSEN2	PSEN2	NM_000447.3	NP_000438.2
COQ8A	COQ8A	NM_020247.5	NP_064632.2
CDC42BPA	CDC42BPA	NM_001394014.1	NP_001380943.1
ZNF678	ZNF678	NM_001367909.1	NP_001354838.1
SNAP47	SNAP47	NM_053052.4	NP_444280.3
JMJD4	JMJD4	NM_023007.3	NP_075383.3
PRSS38	PRSS38	NM_183062.3	NP_898885.1
WNT9A	WNT9A	NM_003395.4	NP_003386.1
WNT3A	WNT3A	NM_033131.4	NP_149122.1
ARF1	ARF1	NM_001658.4	NP_001649.1
C1orf35	C1orf35	NM_024319.4	NP_077295.1
MRPL55	MRPL55	NM_181463.3	NP_852128.1
GUK1	GUK1	NM_001159390.2	NP_001152862.1
GJC2	GJC2	NM_020435.4	NP_065168.2
IBA57	IBA57	NM_001010867.4	NP_001010867.1
OBSCN	OBSCN	NM_001386125.1	NP_001373054.1
TRIM11	TRIM11	NM_145214.3	NP_660215.1
TRIM17	TRIM17	NM_016102.4	NP_057186.1
H3-4	H3-4	NM_003493.3	NP_003484.1
H2AC25	H2AC25	NM_033445.3	NP_254280.1
H2BC26	H2BC26	NM_175055.3	NP_778225.1
RNF187	RNF187	NM_001010858.3	NP_001010858.2
RHOU	RHOU	NM_021205.6	NP_067028.1
RAB4A	RAB4A	NM_004578.4	NP_004569.2
CCSAP	CCSAP	NM_145257.5	NP_660300.3
ACTA1	ACTA1	NM_001100.4	NP_001091.1
NUP133	NUP133	NM_018230.3	NP_060700.2
ABCB10	ABCB10	NM_012089.3	NP_036221.2
TAF5L	TAF5L	NM_014409.4	NP_055224.1
URB2	URB2	NM_014777.4	NP_055592.2
GALNT2	GALNT2	NM_004481.5	NP_004472.1
PGBD5	PGBD5	NM_001258311.2	NP_001245240.1
COG2	COG2	NM_007357.3	NP_031383.1
AGT	AGT	NM_001384479.1	NP_001371408.1
CAPN9	CAPN9	NM_006615.3	NP_006606.1
C1orf198	C1orf198	NM_032800.3	NP_116189.1
TTC13	TTC13	NM_024525.5	NP_078801.3
ARV1	ARV1	NM_022786.3	NP_073623.1
FAM89A	FAM89A	NM_198552.3	NP_940954.1
TRIM67	TRIM67	NM_001004342.5	NP_001004342.3
C1orf131	C1orf131	NM_152379.4	NP_689592.2
GNPAT	GNPAT	NM_014236.4	NP_055051.1
EXOC8	EXOC8	NM_175876.5	NP_787072.2
SPRTN	SPRTN	NM_032018.7	NP_114407.3
EGLN1	EGLN1	NM_022051.3	NP_071334.1
TSNAX	TSNAX	NM_005999.3	NP_005990.1
DISC1	DISC1	NM_018662.3	NP_061132.2
SIPA1L2	SIPA1L2	NM_020808.5	NP_065859.3
MAP10	MAP10	NM_019090.3	NP_061963.3
NTPCR	NTPCR	NM_032324.3	NP_115700.1
PCNX2	PCNX2	NM_014801.4	NP_055616.3
MAP3K21	MAP3K21	NM_032435.3	NP_115811.2
KCNK1	KCNK1	NM_002245.4	NP_002236.1
SLC35F3	SLC35F3	NM_173508.4	NP_775779.1
COA6	COA6	NM_001206641.3	NP_001193570.2
TARBP1	TARBP1	NM_005646.4	NP_005637.3
IRF2BP2	IRF2BP2	NM_182972.3	NP_892017.2
TOMM20	TOMM20	NM_014765.3	NP_055580.1
RBM34	RBM34	NM_015014.4	NP_055829.2
ARID4B	ARID4B	NM_016374.6	NP_057458.4
GGPS1	GGPS1	NM_004837.4	NP_004828.1
TBCE	TBCE	NM_003193.5	NP_003184.1
B3GALNT2	B3GALNT2	NM_152490.5	NP_689703.1
GNG4	GNG4	NM_001098722.2	NP_001092192.1
LYST	LYST	NM_000081.4	NP_000072.2
NID1	NID1	NM_002508.3	NP_002499.2
GPR137B	GPR137B	NM_003272.4	NP_003263.1
ERO1B	ERO1B	NM_019891.4	NP_063944.3
EDARADD	EDARADD	NM_145861.4	NP_665860.2
LGALS8	LGALS8	NM_201544.4	NP_963838.1
HEATR1	HEATR1	NM_018072.6	NP_060542.4
ACTN2	ACTN2	NM_001103.4	NP_001094.1
MTR	MTR	NM_000254.3	NP_000245.2
MT1HL1	MT1HL1	NM_001276687.2	NP_001263616.1
RYR2	RYR2	NM_001035.3	NP_001026.2
ZP4	ZP4	NM_021186.5	NP_067009.1
CHRM3	CHRM3	NM_001375978.1	NP_001362907.1
FMN2	FMN2	NM_020066.5	NP_064450.3
GREM2	GREM2	NM_022469.4	NP_071914.3
RGS7	RGS7	NM_001364886.1	NP_001351815.1
FH	FH	NM_000143.4	NP_000134.2
KMO	KMO	NM_003679.5	NP_003670.2
OPN3	OPN3	NM_014322.3	NP_055137.2
CHML	CHML	NM_001381853.1	NP_001368782.1
WDR64	WDR64	NM_001367482.1	NP_001354411.1
EXO1	EXO1	NM_130398.4	NP_569082.2
BECN2	BECN2	NM_001290693.1	NP_001277622.1
MAP1LC3C	MAP1LC3C	NM_001004343.3	NP_001004343.1
PLD5	PLD5	NM_001372062.1	NP_001358991.1
CEP170	CEP170	NM_014812.3	NP_055627.2
SDCCAG8	SDCCAG8	NM_006642.5	NP_006633.1
AKT3	AKT3	NM_005465.7	NP_005456.1
ZBTB18	ZBTB18	NM_205768.3	NP_991331.1
C1orf100	C1orf100	NM_001012970.3	NP_001012988.1
ADSS2	ADSS2	NM_001126.5	NP_001117.2
CATSPERE	CATSPERE	NM_001130957.2	NP_001124429.1
DESI2	DESI2	NM_016076.5	NP_057160.2
C1orf202	C1orf202	NM_001395959.1	NP_001382888.1
COX20	COX20	NM_198076.6	NP_932342.1
HNRNPU	HNRNPU	NM_031844.3	NP_114032.2
EFCAB2	EFCAB2	NM_032328.4	NP_115704.1
KIF26B	KIF26B	NM_018012.4	NP_060482.2
SMYD3	SMYD3	NM_001167740.2	NP_001161212.1
TFB2M	TFB2M	NM_022366.3	NP_071761.1
CNST	CNST	NM_152609.3	NP_689822.2
SCCPDH	SCCPDH	NM_016002.3	NP_057086.2
AHCTF1	AHCTF1	NM_001323342.2	NP_001310271.1
ZNF695	ZNF695	NM_020394.5	NP_065127.5
ZNF670	ZNF670	NM_033213.5	NP_149990.1
ZNF669	ZNF669	NM_001142572.2	NP_001136044.1
ZNF124	ZNF124	NM_001297568.2	NP_001284497.1
ZNF496	ZNF496	NM_032752.3	NP_116141.1
NLRP3	NLRP3	NM_001243133.2	NP_001230062.1
OR2B11	OR2B11	NM_001004492.2	NP_001004492.1
GCSAML	GCSAML	NM_145278.5	NP_660321.1
OR2C3	OR2C3	NM_198074.6	NP_932340.4
OR2G2	OR2G2	NM_001001915.1	NP_001001915.1
OR2G3	OR2G3	NM_001001914.1	NP_001001914.1
OR14L1	OR14L1	NM_001396106.1	NP_001383035.1
OR13G1	OR13G1	NM_001005487.2	NP_001005487.1
OR6F1	OR6F1	NM_001005286.2	NP_001005286.1
OR14A2	OR14A2	NM_001355292.3	NP_001342221.1
OR14K1	OR14K1	NM_001004732.2	NP_001004732.2
OR1C1	OR1C1	NM_012353.3	NP_036485.2
OR14A16	OR14A16	NM_001001966.2	NP_001001966.1
OR11L1	OR11L1	NM_001001959.1	NP_001001959.1
TRIM58	TRIM58	NM_015431.4	NP_056246.3
OR2W3	OR2W3	NM_001001957.2	NP_001001957.2
OR2T8	OR2T8	NM_001005522.2	NP_001005522.1
OR2AJ1	OR2AJ1	NM_001355235.2	NP_001342164.2
OR2L13	OR2L13	NM_001395936.1	NP_001382865.1
OR2L8	OR2L8	NM_001001963.1	NP_001001963.1
OR2AK2	OR2AK2	NM_001004491.2	NP_001004491.2
OR2L5	OR2L5	NM_001258284.2	NP_001245213.1
OR2L2	OR2L2	NM_001385855.1	NP_001372784.1
OR2L3	OR2L3	NM_001004687.2	NP_001004687.1
OR2M5	OR2M5	NM_001004690.1	NP_001004690.1
OR2M2	OR2M2	NM_001004688.2	NP_001004688.1
OR2M3	OR2M3	NM_001004689.2	NP_001004689.1
OR2M4	OR2M4	NM_017504.2	NP_059974.1
OR2T33	OR2T33	NM_001004695.2	NP_001004695.1
OR2T12	OR2T12	NM_001004692.2	NP_001004692.1
OR2M7	OR2M7	NM_001004691.1	NP_001004691.1
OR14C36	OR14C36	NM_001001918.1	NP_001001918.1
OR2T4	OR2T4	NM_001004696.2	NP_001004696.2
OR2T6	OR2T6	NM_001005471.2	NP_001005471.1
OR2T1	OR2T1	NM_030904.2	NP_112166.2
OR2T2	OR2T2	NM_001004136.2	NP_001004136.1
OR2T3	OR2T3	NM_001005495.1	NP_001005495.1
OR2T5	OR2T5	NM_001004697.2	NP_001004697.1
OR2G6	OR2G6	NM_001013355.2	NP_001013373.1
OR2T29	OR2T29	NM_001004694.3	NP_001004694.2
OR2T34	OR2T34	NM_001001821.1	NP_001001821.1
OR2T10	OR2T10	NM_001004693.2	NP_001004693.1
OR2T11	OR2T11	NM_001001964.2	NP_001001964.1
OR2T35	OR2T35	NM_001001827.2	NP_001001827.1
OR2T27	OR2T27	NM_001001824.2	NP_001001824.1
LYPD8	LYPD8	NM_001085474.2	NP_001078943.2
SH3BP5L	SH3BP5L	NM_030645.3	NP_085148.1
ZNF672	ZNF672	NM_024836.3	NP_079112.1
ZNF692	ZNF692	NM_017865.4	NP_060335.2
PGBD2	PGBD2	NM_170725.3	NP_733843.1
FAM110C	FAM110C	NM_001077710.3	NP_001071178.2
SH3YL1	SH3YL1	NM_015677.4	NP_056492.2
ACP1	ACP1	NM_004300.4	NP_004291.1
ALKAL2	ALKAL2	NM_001002919.3	NP_001002919.2
TMEM18	TMEM18	NM_152834.4	NP_690047.2
SNTG2	SNTG2	NM_018968.4	NP_061841.2
TPO	TPO	NM_001206744.2	NP_001193673.1
PXDN	PXDN	NM_012293.3	NP_036425.1
MYT1L	MYT1L	NM_001303052.2	NP_001289981.1
EIPR1	EIPR1	NM_003310.5	NP_003301.1
TRAPPC12	TRAPPC12	NM_016030.6	NP_057114.5
ADI1	ADI1	NM_018269.4	NP_060739.2
RNASEH1	RNASEH1	NM_002936.6	NP_002927.2
RPS7	RPS7	NM_001011.4	NP_001002.1
COLEC11	COLEC11	NM_024027.5	NP_076932.1
ALLC	ALLC	NM_018436.4	NP_060906.3
DCDC2C	DCDC2C	NM_001287444.2	NP_001274373.1
SOX11	SOX11	NM_003108.4	NP_003099.1
CMPK2	CMPK2	NM_207315.4	NP_997198.2
RSAD2	RSAD2	NM_080657.5	NP_542388.2
RNF144A	RNF144A	NM_014746.6	NP_055561.2
ID2	ID2	NM_002166.5	NP_002157.2
KIDINS220	KIDINS220	NM_020738.4	NP_065789.1
MBOAT2	MBOAT2	NM_138799.4	NP_620154.2
ASAP2	ASAP2	NM_003887.3	NP_003878.1
ITGB1BP1	ITGB1BP1	NM_004763.5	NP_004754.1
CPSF3	CPSF3	NM_016207.4	NP_057291.1
IAH1	IAH1	NM_001039613.3	NP_001034702.1
ADAM17	ADAM17	NM_003183.6	NP_003174.3
YWHAQ	YWHAQ	NM_006826.4	NP_006817.1
TAF1B	TAF1B	NM_005680.3	NP_005671.3
GRHL1	GRHL1	NM_198182.3	NP_937825.2
KLF11	KLF11	NM_003597.5	NP_003588.1
CYS1	CYS1	NM_001037160.3	NP_001032237.1
RRM2	RRM2	NM_001034.4	NP_001025.1
HPCAL1	HPCAL1	NM_002149.4	NP_002140.2
ODC1	ODC1	NM_002539.3	NP_002530.1
NOL10	NOL10	NM_024894.4	NP_079170.2
ATP6V1C2	ATP6V1C2	NM_001039362.2	NP_001034451.1
PDIA6	PDIA6	NM_005742.4	NP_005733.1
KCNF1	KCNF1	NM_002236.5	NP_002227.2
C2orf50	C2orf50	NM_001371321.1	NP_001358250.1
SLC66A3	SLC66A3	NM_152391.5	NP_689604.1
ROCK2	ROCK2	NM_004850.5	NP_004841.2
E2F6	E2F6	NM_198256.4	NP_937987.2
GREB1	GREB1	NM_014668.4	NP_055483.2
NTSR2	NTSR2	NM_012344.4	NP_036476.2
LPIN1	LPIN1	NM_001349206.2	NP_001336135.1
TRIB2	TRIB2	NM_021643.4	NP_067675.1
LRATD1	LRATD1	NM_145175.4	NP_660158.2
NBAS	NBAS	NM_015909.4	NP_056993.2
DDX1	DDX1	NM_004939.3	NP_004930.1
MYCN	MYCN	NM_005378.6	NP_005369.2
CYRIA	CYRIA	NM_030797.4	NP_110424.1
RAD51AP2	RAD51AP2	NM_001099218.3	NP_001092688.1
VSNL1	VSNL1	NM_003385.5	NP_003376.2
SMC6	SMC6	NM_001142286.2	NP_001135758.1
GEN1	GEN1	NM_001130009.3	NP_001123481.3
MSGN1	MSGN1	NM_001105569.3	NP_001099039.1
KCNS3	KCNS3	NM_002252.5	NP_002243.3
RDH14	RDH14	NM_020905.4	NP_065956.1
NT5C1B	NT5C1B	NM_033253.4	NP_150278.2
OSR1	OSR1	NM_145260.3	NP_660303.1
TTC32	TTC32	NM_001008237.3	NP_001008238.1
WDR35	WDR35	NM_020779.4	NP_065830.2
WDR35	WDR35	NM_001006657.2	NP_001006658.1
MATN3	MATN3	NM_002381.5	NP_002372.1
LAPTM4A	LAPTM4A	NM_014713.5	NP_055528.1
SDC1	SDC1	NM_002997.5	NP_002988.4
PUM2	PUM2	NM_015317.5	NP_056132.1
RHOB	RHOB	NM_004040.4	NP_004031.1
HS1BP3	HS1BP3	NM_022460.4	NP_071905.3
GDF7	GDF7	NM_182828.4	NP_878248.2
LDAH	LDAH	NM_021925.4	NP_068744.1
APOB	APOB	NM_000384.3	NP_000375.3
TDRD15	TDRD15	NM_001306137.2	NP_001293066.1
KLHL29	KLHL29	NM_052920.2	NP_443152.1
ATAD2B	ATAD2B	NM_017552.4	NP_060022.2
UBXN2A	UBXN2A	NM_181713.4	NP_859064.2
MFSD2B	MFSD2B	NM_001346880.2	NP_001333809.1
WDCP	WDCP	NM_025203.3	NP_079479.1
FKBP1B	FKBP1B	NM_004116.5	NP_004107.1
SF3B6	SF3B6	NM_016047.4	NP_057131.1
FAM228B	FAM228B	NM_001145710.2	NP_001139182.1
TP53I3	TP53I3	NM_004881.5	NP_004872.2
PFN4	PFN4	NM_199346.3	NP_955378.1
FAM228A	FAM228A	NM_001040710.3	NP_001035800.1
ITSN2	ITSN2	NM_006277.3	NP_006268.2
NCOA1	NCOA1	NM_003743.5	NP_003734.3
PTRHD1	PTRHD1	NM_001013663.2	NP_001013685.1
CENPO	CENPO	NM_001322101.2	NP_001309030.1
ADCY3	ADCY3	NM_004036.5	NP_004027.2
DNAJC27	DNAJC27	NM_016544.3	NP_057628.1
EFR3B	EFR3B	NM_014971.2	NP_055786.1
POMC	POMC	NM_000939.4	NP_000930.1
DNMT3A	DNMT3A	NM_022552.5	NP_072046.2
DTNB	DTNB	NM_021907.5	NP_068707.1
ASXL2	ASXL2	NM_018263.6	NP_060733.4
KIF3C	KIF3C	NM_002254.8	NP_002245.4
RAB10	RAB10	NM_016131.5	NP_057215.3
GAREM2	GAREM2	NM_001168241.2	NP_001161713.1
HADHA	HADHA	NM_000182.5	NP_000173.2
HADHB	HADHB	NM_000183.3	NP_000174.1
ADGRF3	ADGRF3	NM_001321971.2	NP_001308900.1
SELENOI	SELENOI	NM_033505.4	NP_277040.1
DRC1	DRC1	NM_145038.5	NP_659475.2
OTOF	OTOF	NM_194248.3	NP_919224.1
OTOF	OTOF	NM_194323.3	NP_919304.1
FAM166C	FAM166C	NM_001105519.3	NP_001098989.1
CIB4	CIB4	NM_001029881.3	NP_001025052.1
KCNK3	KCNK3	NM_002246.3	NP_002237.1
SLC35F6	SLC35F6	NM_017877.4	NP_060347.2
CENPA	CENPA	NM_001809.4	NP_001800.1
DPYSL5	DPYSL5	NM_020134.4	NP_064519.2
MAPRE3	MAPRE3	NM_012326.4	NP_036458.2
TMEM214	TMEM214	NM_017727.5	NP_060197.4
AGBL5	AGBL5	NM_021831.6	NP_068603.4
OST4	OST4	NM_001134693.2	NP_001128165.1
EMILIN1	EMILIN1	NM_007046.4	NP_008977.1
KHK	KHK	NM_006488.3	NP_006479.1
CGREF1	CGREF1	NM_006569.6	NP_006560.3
ABHD1	ABHD1	NM_032604.4	NP_115993.3
PREB	PREB	NM_013388.6	NP_037520.1
PRR30	PRR30	NM_178553.4	NP_848648.2
TCF23	TCF23	NM_175769.3	NP_786951.1
SLC5A6	SLC5A6	NM_021095.4	NP_066918.2
ATRAID	ATRAID	NM_001170795.4	NP_001164266.1
CAD	CAD	NM_004341.5	NP_004332.2
SLC30A3	SLC30A3	NM_003459.5	NP_003450.2
DNAJC5G	DNAJC5G	NM_173650.3	NP_775921.1
TRIM54	TRIM54	NM_187841.3	NP_912730.2
UCN	UCN	NM_003353.4	NP_003344.1
MPV17	MPV17	NM_002437.5	NP_002428.1
GTF3C2	GTF3C2	NM_001035521.3	NP_001030598.1
EIF2B4	EIF2B4	NM_001034116.2	NP_001029288.1
SNX17	SNX17	NM_014748.4	NP_055563.1
ZNF513	ZNF513	NM_144631.6	NP_653232.3
PPM1G	PPM1G	NM_177983.3	NP_817092.1
NRBP1	NRBP1	NM_013392.4	NP_037524.1
KRTCAP3	KRTCAP3	NM_173853.4	NP_776252.2
IFT172	IFT172	NM_015662.3	NP_056477.1
FNDC4	FNDC4	NM_022823.3	NP_073734.1
GCKR	GCKR	NM_001486.4	NP_001477.2
C2orf16	C2orf16	NM_032266.5	NP_115642.4
ZNF512	ZNF512	NM_032434.4	NP_115810.2
CCDC121	CCDC121	NM_024584.5	NP_078860.2
GPN1	GPN1	NM_007266.4	NP_009197.3
SUPT7L	SUPT7L	NM_014860.3	NP_055675.1
SLC4A1AP	SLC4A1AP	NM_018158.3	NP_060628.3
MRPL33	MRPL33	NM_004891.4	NP_004882.1
RBKS	RBKS	NM_022128.3	NP_071411.1
BABAM2	BABAM2	NM_199191.3	NP_954661.1
FOSL2	FOSL2	NM_005253.4	NP_005244.1
PLB1	PLB1	NM_153021.5	NP_694566.4
PPP1CB	PPP1CB	NM_002709.3	NP_002700.1
SPDYA	SPDYA	NM_182756.4	NP_877433.2
TRMT61B	TRMT61B	NM_017910.4	NP_060380.3
WDR43	WDR43	NM_015131.3	NP_055946.1
TOGARAM2	TOGARAM2	NM_199280.4	NP_954974.2
PCARE	PCARE	NM_001029883.3	NP_001025054.1
CLIP4	CLIP4	NM_024692.6	NP_078968.3
ALK	ALK	NM_004304.5	NP_004295.2
YPEL5	YPEL5	NM_016061.3	NP_057145.1
LBH	LBH	NM_030915.4	NP_112177.2
LCLAT1	LCLAT1	NM_001002257.3	NP_001002257.1
CAPN13	CAPN13	NM_144575.3	NP_653176.2
GALNT14	GALNT14	NM_024572.4	NP_078848.2
CAPN14	CAPN14	NM_001145122.2	NP_001138594.1
EHD3	EHD3	NM_014600.3	NP_055415.1
XDH	XDH	NM_000379.4	NP_000370.2
SRD5A2	SRD5A2	NM_000348.4	NP_000339.2
MEMO1	MEMO1	NM_001301833.4	NP_001288762.1
DPY30	DPY30	NM_001321209.2	NP_001308138.1
SPAST	SPAST	NM_014946.4	NP_055761.2
SLC30A6	SLC30A6	NM_017964.5	NP_060434.2
NLRC4	NLRC4	NM_001199138.2	NP_001186067.1
YIPF4	YIPF4	NM_032312.4	NP_115688.1
BIRC6	BIRC6	NM_016252.4	NP_057336.3
TTC27	TTC27	NM_017735.5	NP_060205.3
LTBP1	LTBP1	NM_206943.4	NP_996826.3
RASGRP3	RASGRP3	NM_001139488.2	NP_001132960.1
FAM98A	FAM98A	NM_015475.5	NP_056290.3
CRIM1	CRIM1	NM_016441.3	NP_057525.1
FEZ2	FEZ2	NM_005102.3	NP_005093.2
VIT	VIT	NM_053276.4	NP_444506.2
STRN	STRN	NM_003162.4	NP_003153.2
HEATR5B	HEATR5B	NM_019024.3	NP_061897.1
GPATCH11	GPATCH11	NM_174931.4	NP_777591.4
EIF2AK2	EIF2AK2	NM_001135651.3	NP_001129123.1
SULT6B1	SULT6B1	NM_001367551.1	NP_001354480.1
CEBPZOS	CEBPZOS	NM_001322374.2	NP_001309303.1
CEBPZ	CEBPZ	NM_005760.3	NP_005751.2
NDUFAF7	NDUFAF7	NM_144736.5	NP_653337.1
PRKD3	PRKD3	NM_005813.6	NP_005804.1
QPCT	QPCT	NM_012413.4	NP_036545.1
CDC42EP3	CDC42EP3	NM_006449.5	NP_006440.2
RMDN2	RMDN2	NM_001170791.3	NP_001164262.1
CYP1B1	CYP1B1	NM_000104.4	NP_000095.2
ATL2	ATL2	NM_001135673.4	NP_001129145.1
HNRNPLL	HNRNPLL	NM_138394.4	NP_612403.2
GALM	GALM	NM_138801.3	NP_620156.1
SRSF7	SRSF7	NM_001031684.3	NP_001026854.1
GEMIN6	GEMIN6	NM_024775.10	NP_079051.9
DHX57	DHX57	NM_198963.3	NP_945314.1
MORN2	MORN2	NM_001145450.3	NP_001138922.2
ARHGEF33	ARHGEF33	NM_001145451.5	NP_001138923.2
SOS1	SOS1	NM_005633.4	NP_005624.2
CDKL4	CDKL4	NM_001397900.1	NP_001384829.1
MAP4K3	MAP4K3	NM_003618.4	NP_003609.2
TMEM178A	TMEM178A	NM_152390.3	NP_689603.2
THUMPD2	THUMPD2	NM_025264.5	NP_079540.2
SLC8A1	SLC8A1	NM_021097.5	NP_066920.1
PKDCC	PKDCC	NM_138370.3	NP_612379.2
EML4	EML4	NM_019063.5	NP_061936.3
COX7A2L	COX7A2L	NM_004718.4	NP_004709.2
KCNG3	KCNG3	NM_133329.6	NP_579875.1
MTA3	MTA3	NM_001330442.2	NP_001317371.1
OXER1	OXER1	NM_148962.5	NP_683765.2
HAAO	HAAO	NM_012205.3	NP_036337.2
ZFP36L2	ZFP36L2	NM_006887.5	NP_008818.3
THADA	THADA	NM_022065.5	NP_071348.3
PLEKHH2	PLEKHH2	NM_172069.4	NP_742066.2
C1GALT1C1L	C1GALT1C1L	NM_001101330.3	NP_001094800.1
DYNC2LI1	DYNC2LI1	NM_016008.4	NP_057092.2
ABCG5	ABCG5	NM_022436.3	NP_071881.1
ABCG8	ABCG8	NM_022437.3	NP_071882.1
LRPPRC	LRPPRC	NM_133259.4	NP_573566.2
PPM1B	PPM1B	NM_002706.6	NP_002697.1
SLC3A1	SLC3A1	NM_000341.4	NP_000332.2
PREPL	PREPL	NM_001171613.2	NP_001165084.1
CAMKMT	CAMKMT	NM_024766.5	NP_079042.1
SIX3	SIX3	NM_005413.4	NP_005404.1
SIX2	SIX2	NM_016932.5	NP_058628.3
SRBD1	SRBD1	NM_018079.5	NP_060549.4
PRKCE	PRKCE	NM_005400.3	NP_005391.1
EPAS1	EPAS1	NM_001430.5	NP_001421.2
ATP6V1E2	ATP6V1E2	NM_001318063.2	NP_001304992.1
RHOQ	RHOQ	NM_012249.4	NP_036381.2
PIGF	PIGF	NM_002643.4	NP_002634.1
CRIPT	CRIPT	NM_014171.6	NP_054890.1
SOCS5	SOCS5	NM_144949.3	NP_659198.1
MCFD2	MCFD2	NM_139279.6	NP_644808.1
TTC7A	TTC7A	NM_020458.4	NP_065191.2
STPG4	STPG4	NM_001163561.2	NP_001157033.1
CALM2	CALM2	NM_001743.6	NP_001734.1
EPCAM	EPCAM	NM_002354.3	NP_002345.2
MSH2	MSH2	NM_000251.3	NP_000242.1
KCNK12	KCNK12	NM_022055.2	NP_071338.1
MSH6	MSH6	NM_000179.3	NP_000170.1
FBXO11	FBXO11	NM_001190274.2	NP_001177203.1
FOXN2	FOXN2	NM_002158.4	NP_002149.2
PPP1R21	PPP1R21	NM_001135629.3	NP_001129101.1
STON1	STON1	NM_006873.4	NP_006864.2
GTF2A1L	GTF2A1L	NM_006872.5	NP_006863.2
LHCGR	LHCGR	NM_000233.4	NP_000224.2
FSHR	FSHR	NM_000145.4	NP_000136.2
NRXN1	NRXN1	NM_001330078.2	NP_001317007.1
ASB3	ASB3	NM_016115.5	NP_057199.1
CHAC2	CHAC2	NM_001008708.4	NP_001008708.1
ERLEC1	ERLEC1	NM_015701.5	NP_056516.2
GPR75	GPR75	NM_006794.4	NP_006785.1
PSME4	PSME4	NM_014614.3	NP_055429.2
ACYP2	ACYP2	NM_001320586.2	NP_001307515.1
TSPYL6	TSPYL6	NM_001003937.3	NP_001003937.2
C2orf73	C2orf73	NM_001100396.2	NP_001093866.1
SPTBN1	SPTBN1	NM_003128.3	NP_003119.2
EML6	EML6	NM_001039753.4	NP_001034842.2
RTN4	RTN4	NM_020532.5	NP_065393.1
CLHC1	CLHC1	NM_152385.4	NP_689598.2
RPS27A	RPS27A	NM_002954.6	NP_002945.1
