# Created by CAVA ensembl_db 2.0.13 based on Ensembl release 75
#GENEID	SYMBOL	Transcript	Protein
ENSG00000186092	OR4F5	ENST00000335137	ENSP00000334393
ENSG00000143314	MRPL24	ENST00000368211	ENSP00000357194
ENSG00000143321	HDGF	ENST00000357325	ENSP00000349878
ENSG00000143321	HDGF	ENST00000368209	ENSP00000357192
ENSG00000143321	HDGF	ENST00000537739	ENSP00000443120
ENSG00000143321	HDGF	ENST00000416666	ENSP00000416752
ENSG00000143321	HDGF	ENST00000368206	ENSP00000357189
ENSG00000143294	PRCC	ENST00000271526	ENSP00000271526
ENSG00000143294	PRCC	ENST00000353233	ENSP00000339300
ENSG00000027869	SH2D2A	ENST00000368198	ENSP00000357181
ENSG00000027869	SH2D2A	ENST00000368199	ENSP00000357182
ENSG00000027869	SH2D2A	ENST00000392306	ENSP00000376123
ENSG00000198400	NTRK1	ENST00000392302	ENSP00000376120
ENSG00000198400	NTRK1	ENST00000368196	ENSP00000357179
ENSG00000198400	NTRK1	ENST00000524377	ENSP00000431418
ENSG00000198400	NTRK1	ENST00000358660	ENSP00000351486
ENSG00000027644	INSRR	ENST00000368195	ENSP00000357178
ENSG00000187800	PEAR1	ENST00000338302	ENSP00000344465
ENSG00000187800	PEAR1	ENST00000292357	ENSP00000292357
ENSG00000160838	LRRC71	ENST00000337428	ENSP00000336661
ENSG00000132694	ARHGEF11	ENST00000368194	ENSP00000357177
ENSG00000132694	ARHGEF11	ENST00000361409	ENSP00000354644
ENSG00000132694	ARHGEF11	ENST00000315174	ENSP00000313470
ENSG00000253831	ETV3L	ENST00000454449	ENSP00000430271
ENSG00000117036	ETV3	ENST00000368192	ENSP00000357175
ENSG00000117036	ETV3	ENST00000326786	ENSP00000327316
ENSG00000143297	FCRL5	ENST00000361835	ENSP00000354691
ENSG00000143297	FCRL5	ENST00000356953	ENSP00000349434
ENSG00000143297	FCRL5	ENST00000368190	ENSP00000357173
ENSG00000143297	FCRL5	ENST00000368191	ENSP00000357174
ENSG00000143297	FCRL5	ENST00000368189	ENSP00000357172
ENSG00000143297	FCRL5	ENST00000368188	ENSP00000357171
ENSG00000163518	FCRL4	ENST00000271532	ENSP00000271532
ENSG00000160856	FCRL3	ENST00000368186	ENSP00000357169
ENSG00000160856	FCRL3	ENST00000368184	ENSP00000357167
ENSG00000132704	FCRL2	ENST00000361516	ENSP00000355157
ENSG00000132704	FCRL2	ENST00000368181	ENSP00000357163
ENSG00000132704	FCRL2	ENST00000392274	ENSP00000376100
ENSG00000132704	FCRL2	ENST00000469986	ENSP00000417393
ENSG00000163534	FCRL1	ENST00000358292	ENSP00000351039
ENSG00000163534	FCRL1	ENST00000368176	ENSP00000357158
ENSG00000163534	FCRL1	ENST00000491942	ENSP00000418130
ENSG00000073754	CD5L	ENST00000368174	ENSP00000357156
ENSG00000183853	KIRREL	ENST00000360089	ENSP00000353202
ENSG00000183853	KIRREL	ENST00000368173	ENSP00000357155
ENSG00000183853	KIRREL	ENST00000392272	ENSP00000376098
ENSG00000183853	KIRREL	ENST00000359209	ENSP00000352138
ENSG00000183853	KIRREL	ENST00000416935	ENSP00000389674
ENSG00000183853	KIRREL	ENST00000368172	ENSP00000357154
ENSG00000158473	CD1D	ENST00000368171	ENSP00000357153
ENSG00000158477	CD1A	ENST00000289429	ENSP00000289429
ENSG00000158481	CD1C	ENST00000368170	ENSP00000357152
ENSG00000158485	CD1B	ENST00000368168	ENSP00000357150
ENSG00000158488	CD1E	ENST00000434258	ENSP00000401957
ENSG00000158488	CD1E	ENST00000444681	ENSP00000402906
ENSG00000158488	CD1E	ENST00000368167	ENSP00000357149
ENSG00000158488	CD1E	ENST00000452291	ENSP00000416228
ENSG00000158488	CD1E	ENST00000368165	ENSP00000357147
ENSG00000158488	CD1E	ENST00000368166	ENSP00000357148
ENSG00000158488	CD1E	ENST00000368163	ENSP00000357145
ENSG00000158488	CD1E	ENST00000368164	ENSP00000357146
ENSG00000158488	CD1E	ENST00000368157	ENSP00000357139
ENSG00000158488	CD1E	ENST00000368156	ENSP00000357138
ENSG00000158488	CD1E	ENST00000368155	ENSP00000357137
ENSG00000158488	CD1E	ENST00000368154	ENSP00000357136
ENSG00000158488	CD1E	ENST00000368160	ENSP00000357142
ENSG00000158488	CD1E	ENST00000368161	ENSP00000357143
ENSG00000186306	OR10T2	ENST00000334438	ENSP00000334115
ENSG00000180708	OR10K2	ENST00000314902	ENSP00000324251
ENSG00000173285	OR10K1	ENST00000289451	ENSP00000289451
ENSG00000198965	OR10R2	ENST00000368152	ENSP00000357134
ENSG00000197532	OR6Y1	ENST00000302617	ENSP00000304807
ENSG00000186440	OR6P1	ENST00000334632	ENSP00000334721
ENSG00000186400	OR10X1	ENST00000368150	ENSP00000357132
ENSG00000198967	OR10Z1	ENST00000361284	ENSP00000354707
ENSG00000163554	SPTA1	ENST00000368147	ENSP00000357129
ENSG00000196171	OR6K2	ENST00000359610	ENSP00000352626
ENSG00000203757	OR6K3	ENST00000368145	ENSP00000357127
ENSG00000203757	OR6K3	ENST00000368146	ENSP00000357128
ENSG00000180433	OR6K6	ENST00000368144	ENSP00000357126
ENSG00000197403	OR6N1	ENST00000335094	ENSP00000335535
ENSG00000188340	OR6N2	ENST00000339258	ENSP00000344101
ENSG00000163563	MNDA	ENST00000368141	ENSP00000357123
ENSG00000163564	PYHIN1	ENST00000368140	ENSP00000357122
ENSG00000163564	PYHIN1	ENST00000368138	ENSP00000357120
ENSG00000163564	PYHIN1	ENST00000392254	ENSP00000376083
ENSG00000163564	PYHIN1	ENST00000392252	ENSP00000376082
ENSG00000163564	PYHIN1	ENST00000368135	ENSP00000357117
ENSG00000163565	IFI16	ENST00000368131	ENSP00000357113
ENSG00000163565	IFI16	ENST00000340979	ENSP00000342741
ENSG00000163565	IFI16	ENST00000368132	ENSP00000357114
ENSG00000163565	IFI16	ENST00000295809	ENSP00000295809
ENSG00000163565	IFI16	ENST00000359709	ENSP00000352740
ENSG00000163565	IFI16	ENST00000430894	ENSP00000394935
ENSG00000163565	IFI16	ENST00000448393	ENSP00000404325
ENSG00000163568	AIM2	ENST00000368130	ENSP00000357112
ENSG00000162706	CADM3	ENST00000368124	ENSP00000357106
ENSG00000162706	CADM3	ENST00000368125	ENSP00000357107
ENSG00000213088	DARC	ENST00000537147	ENSP00000441985
ENSG00000213088	DARC	ENST00000368122	ENSP00000357104
ENSG00000213088	DARC	ENST00000368121	ENSP00000357103
ENSG00000179639	FCER1A	ENST00000368115	ENSP00000357097
ENSG00000179639	FCER1A	ENST00000368114	ENSP00000357096
ENSG00000196266	OR10J3	ENST00000332217	ENSP00000331789
ENSG00000196184	OR10J1	ENST00000423932	ENSP00000399078
ENSG00000184155	OR10J5	ENST00000334857	ENSP00000334441
ENSG00000132703	APCS	ENST00000255040	ENSP00000255040
ENSG00000132693	CRP	ENST00000255030	ENSP00000255030
ENSG00000132693	CRP	ENST00000437342	ENSP00000402788
ENSG00000132693	CRP	ENST00000368112	ENSP00000357093
ENSG00000132693	CRP	ENST00000368111	ENSP00000357092
ENSG00000132693	CRP	ENST00000368110	ENSP00000357091
ENSG00000132693	CRP	ENST00000343919	ENSP00000340882
ENSG00000158716	DUSP23	ENST00000368109	ENSP00000357089
ENSG00000158716	DUSP23	ENST00000368108	ENSP00000357088
ENSG00000158716	DUSP23	ENST00000368107	ENSP00000357087
ENSG00000181036	FCRL6	ENST00000321935	ENSP00000320625
ENSG00000181036	FCRL6	ENST00000339348	ENSP00000340949
ENSG00000181036	FCRL6	ENST00000392235	ENSP00000376068
ENSG00000181036	FCRL6	ENST00000368106	ENSP00000357086
ENSG00000158714	SLAMF8	ENST00000289707	ENSP00000289707
ENSG00000158714	SLAMF8	ENST00000368104	ENSP00000357084
ENSG00000188004	C1orf204	ENST00000368102	ENSP00000357082
ENSG00000243284	VSIG8	ENST00000368100	ENSP00000357080
ENSG00000213085	CCDC19	ENST00000368099	ENSP00000357079
ENSG00000213085	CCDC19	ENST00000426543	ENSP00000403044
ENSG00000158710	TAGLN2	ENST00000368096	ENSP00000357076
ENSG00000158710	TAGLN2	ENST00000368097	ENSP00000357077
ENSG00000158710	TAGLN2	ENST00000320307	ENSP00000357075
ENSG00000085552	IGSF9	ENST00000361509	ENSP00000355049
ENSG00000085552	IGSF9	ENST00000368094	ENSP00000357073
ENSG00000162723	SLAMF9	ENST00000368092	ENSP00000357071
ENSG00000162723	SLAMF9	ENST00000368093	ENSP00000357072
ENSG00000143315	PIGM	ENST00000368090	ENSP00000357069
ENSG00000177807	KCNJ10	ENST00000368089	ENSP00000357068
ENSG00000162728	KCNJ9	ENST00000368088	ENSP00000357067
ENSG00000162729	IGSF8	ENST00000314485	ENSP00000316664
ENSG00000162729	IGSF8	ENST00000368086	ENSP00000357065
ENSG00000018625	ATP1A2	ENST00000361216	ENSP00000354490
ENSG00000018625	ATP1A2	ENST00000392233	ENSP00000376066
ENSG00000132681	ATP1A4	ENST00000368081	ENSP00000357060
ENSG00000132681	ATP1A4	ENST00000470705	ENSP00000433094
ENSG00000143318	CASQ1	ENST00000368079	ENSP00000357058
ENSG00000143318	CASQ1	ENST00000368078	ENSP00000357057
ENSG00000143318	CASQ1	ENST00000467691	ENSP00000418051
ENSG00000162734	PEA15	ENST00000360472	ENSP00000353660
ENSG00000162734	PEA15	ENST00000368077	ENSP00000357056
ENSG00000162734	PEA15	ENST00000368076	ENSP00000357055
ENSG00000132716	DCAF8	ENST00000368073	ENSP00000357052
ENSG00000132716	DCAF8	ENST00000326837	ENSP00000318227
ENSG00000132716	DCAF8	ENST00000368074	ENSP00000357053
ENSG00000132716	DCAF8	ENST00000608310	ENSP00000476284
ENSG00000132716	DCAF8	ENST00000610139	ENSP00000477464
ENSG00000132716	DCAF8	ENST00000475733	ENSP00000476351
ENSG00000258465	DCAF8	ENST00000556710	ENSP00000451235
ENSG00000162735	PEX19	ENST00000368072	ENSP00000357051
ENSG00000162735	PEX19	ENST00000440949	ENSP00000396784
ENSG00000122218	COPA	ENST00000368069	ENSP00000357048
ENSG00000122218	COPA	ENST00000241704	ENSP00000241704
ENSG00000162736	NCSTN	ENST00000294785	ENSP00000294785
ENSG00000162736	NCSTN	ENST00000368063	ENSP00000357042
ENSG00000162736	NCSTN	ENST00000535857	ENSP00000442605
ENSG00000162736	NCSTN	ENST00000392212	ENSP00000376047
ENSG00000162736	NCSTN	ENST00000368065	ENSP00000357044
ENSG00000171786	NHLH1	ENST00000302101	ENSP00000302189
ENSG00000162738	VANGL2	ENST00000368061	ENSP00000357040
ENSG00000162739	SLAMF6	ENST00000368059	ENSP00000357038
ENSG00000162739	SLAMF6	ENST00000368057	ENSP00000357036
ENSG00000162739	SLAMF6	ENST00000368055	ENSP00000357034
ENSG00000066294	CD84	ENST00000534968	ENSP00000442845
ENSG00000066294	CD84	ENST00000368054	ENSP00000357033
ENSG00000066294	CD84	ENST00000368048	ENSP00000357027
ENSG00000066294	CD84	ENST00000311224	ENSP00000312367
ENSG00000066294	CD84	ENST00000368051	ENSP00000357030
ENSG00000117090	SLAMF1	ENST00000302035	ENSP00000306190
ENSG00000117090	SLAMF1	ENST00000235739	ENSP00000235739
ENSG00000117090	SLAMF1	ENST00000538290	ENSP00000438406
ENSG00000117090	SLAMF1	ENST00000355199	ENSP00000347333
ENSG00000117091	CD48	ENST00000368046	ENSP00000357025
ENSG00000117091	CD48	ENST00000368045	ENSP00000357024
ENSG00000026751	SLAMF7	ENST00000444090	ENSP00000416592
ENSG00000026751	SLAMF7	ENST00000441662	ENSP00000405605
ENSG00000026751	SLAMF7	ENST00000368043	ENSP00000357022
ENSG00000026751	SLAMF7	ENST00000368042	ENSP00000357021
ENSG00000026751	SLAMF7	ENST00000458602	ENSP00000409965
ENSG00000026751	SLAMF7	ENST00000458104	ENSP00000403294
ENSG00000026751	SLAMF7	ENST00000359331	ENSP00000352281
ENSG00000122224	LY9	ENST00000368037	ENSP00000357016
ENSG00000122224	LY9	ENST00000392203	ENSP00000376039
ENSG00000122224	LY9	ENST00000341032	ENSP00000342921
ENSG00000122224	LY9	ENST00000368041	ENSP00000357020
ENSG00000122224	LY9	ENST00000368040	ENSP00000357019
ENSG00000122224	LY9	ENST00000263285	ENSP00000263285
ENSG00000122224	LY9	ENST00000368039	ENSP00000357018
ENSG00000122223	CD244	ENST00000368034	ENSP00000357013
ENSG00000122223	CD244	ENST00000368033	ENSP00000357012
ENSG00000122223	CD244	ENST00000322302	ENSP00000313619
ENSG00000122223	CD244	ENST00000368032	ENSP00000357011
ENSG00000179914	ITLN1	ENST00000326245	ENSP00000323587
ENSG00000158764	ITLN2	ENST00000368029	ENSP00000357008
ENSG00000158769	F11R	ENST00000368026	ENSP00000357005
ENSG00000158769	F11R	ENST00000537746	ENSP00000440812
ENSG00000215845	TSTD1	ENST00000318289	ENSP00000325518
ENSG00000215845	TSTD1	ENST00000368023	ENSP00000357002
ENSG00000215845	TSTD1	ENST00000368024	ENSP00000357003
ENSG00000215845	TSTD1	ENST00000423014	ENSP00000388293
ENSG00000215845	TSTD1	ENST00000466967	ENSP00000473633
ENSG00000158773	USF1	ENST00000368020	ENSP00000356999
ENSG00000158773	USF1	ENST00000368021	ENSP00000357000
ENSG00000158773	USF1	ENST00000435396	ENSP00000390109
ENSG00000158773	USF1	ENST00000368019	ENSP00000356998
ENSG00000186517	ARHGAP30	ENST00000368016	ENSP00000356995
ENSG00000186517	ARHGAP30	ENST00000368013	ENSP00000356992
ENSG00000186517	ARHGAP30	ENST00000368015	ENSP00000356994
ENSG00000143217	PVRL4	ENST00000368012	ENSP00000356991
ENSG00000143217	PVRL4	ENST00000453926	ENSP00000406015
ENSG00000162755	KLHDC9	ENST00000368011	ENSP00000356990
ENSG00000162755	KLHDC9	ENST00000392192	ENSP00000376030
ENSG00000143256	PFDN2	ENST00000368010	ENSP00000356989
ENSG00000158793	NIT1	ENST00000368009	ENSP00000356988
ENSG00000158793	NIT1	ENST00000368007	ENSP00000356986
ENSG00000158793	NIT1	ENST00000368008	ENSP00000356987
ENSG00000158793	NIT1	ENST00000392190	ENSP00000376028
ENSG00000158796	DEDD	ENST00000368006	ENSP00000356985
ENSG00000158796	DEDD	ENST00000392188	ENSP00000376027
ENSG00000158796	DEDD	ENST00000545495	ENSP00000445835
ENSG00000158796	DEDD	ENST00000458050	ENSP00000414821
ENSG00000158796	DEDD	ENST00000490843	ENSP00000476946
ENSG00000158796	DEDD	ENST00000368005	ENSP00000356984
ENSG00000143222	UFC1	ENST00000368003	ENSP00000356982
ENSG00000143258	USP21	ENST00000368002	ENSP00000356981
ENSG00000143258	USP21	ENST00000289865	ENSP00000289865
ENSG00000143258	USP21	ENST00000368001	ENSP00000356980
ENSG00000143224	PPOX	ENST00000352210	ENSP00000343943
ENSG00000143224	PPOX	ENST00000367999	ENSP00000356978
ENSG00000143224	PPOX	ENST00000544598	ENSP00000444216
ENSG00000143224	PPOX	ENST00000535223	ENSP00000443769
ENSG00000143224	PPOX	ENST00000432542	ENSP00000396841
ENSG00000158850	B4GALT3	ENST00000319769	ENSP00000320965
ENSG00000158850	B4GALT3	ENST00000367998	ENSP00000356977
ENSG00000158859	ADAMTS4	ENST00000367996	ENSP00000356975
ENSG00000158859	ADAMTS4	ENST00000367995	ENSP00000356974
ENSG00000158864	NDUFS2	ENST00000367993	ENSP00000356972
ENSG00000158864	NDUFS2	ENST00000392179	ENSP00000376018
ENSG00000158864	NDUFS2	ENST00000476409	ENSP00000446447
ENSG00000158869	FCER1G	ENST00000367992	ENSP00000356971
ENSG00000158869	FCER1G	ENST00000289902	ENSP00000289902
ENSG00000158874	APOA2	ENST00000367990	ENSP00000356969
ENSG00000158874	APOA2	ENST00000468465	ENSP00000476662
ENSG00000158874	APOA2	ENST00000463812	ENSP00000476890
ENSG00000158874	APOA2	ENST00000470459	ENSP00000477031
ENSG00000158874	APOA2	ENST00000464492	ENSP00000476911
ENSG00000158874	APOA2	ENST00000491350	ENSP00000477353
ENSG00000158882	TOMM40L	ENST00000367988	ENSP00000356967
ENSG00000158882	TOMM40L	ENST00000545897	ENSP00000443233
ENSG00000158882	TOMM40L	ENST00000367987	ENSP00000356966
ENSG00000143257	NR1I3	ENST00000512372	ENSP00000425417
ENSG00000143257	NR1I3	ENST00000367983	ENSP00000356962
ENSG00000143257	NR1I3	ENST00000367980	ENSP00000356959
ENSG00000143257	NR1I3	ENST00000437437	ENSP00000407446
ENSG00000143257	NR1I3	ENST00000442691	ENSP00000406493
ENSG00000143257	NR1I3	ENST00000412844	ENSP00000399361
ENSG00000143257	NR1I3	ENST00000428574	ENSP00000412672
ENSG00000143257	NR1I3	ENST00000505005	ENSP00000424934
ENSG00000143257	NR1I3	ENST00000508740	ENSP00000423666
ENSG00000143257	NR1I3	ENST00000367982	ENSP00000356961
ENSG00000143257	NR1I3	ENST00000508387	ENSP00000422982
ENSG00000143257	NR1I3	ENST00000504010	ENSP00000424345
ENSG00000143257	NR1I3	ENST00000511676	ENSP00000427175
ENSG00000143257	NR1I3	ENST00000502985	ENSP00000421374
ENSG00000143257	NR1I3	ENST00000367981	ENSP00000356960
ENSG00000143257	NR1I3	ENST00000515621	ENSP00000421588
ENSG00000143257	NR1I3	ENST00000511944	ENSP00000426292
ENSG00000143257	NR1I3	ENST00000511748	ENSP00000427600
ENSG00000143257	NR1I3	ENST00000367984	ENSP00000356963
ENSG00000143257	NR1I3	ENST00000367985	ENSP00000356965
ENSG00000143257	NR1I3	ENST00000367979	ENSP00000356958
ENSG00000143257	NR1I3	ENST00000506209	ENSP00000423089
ENSG00000143257	NR1I3	ENST00000515452	ENSP00000427034
ENSG00000248485	PCP4L1	ENST00000504449	ENSP00000426296
ENSG00000158887	MPZ	ENST00000533357	ENSP00000432943
ENSG00000158887	MPZ	ENST00000360451	ENSP00000353634
ENSG00000158887	MPZ	ENST00000491222	ENSP00000431441
ENSG00000158887	MPZ	ENST00000336559	ENSP00000337777
ENSG00000143252	SDHC	ENST00000367975	ENSP00000356953
ENSG00000143252	SDHC	ENST00000342751	ENSP00000356952
ENSG00000143252	SDHC	ENST00000432287	ENSP00000390558
ENSG00000143252	SDHC	ENST00000392169	ENSP00000376009
ENSG00000143252	SDHC	ENST00000513009	ENSP00000423260
ENSG00000188931	C1orf192	ENST00000367974	ENSP00000356951
ENSG00000143226	FCGR2A	ENST00000367972	ENSP00000356949
ENSG00000143226	FCGR2A	ENST00000271450	ENSP00000271450
ENSG00000173110	HSPA6	ENST00000309758	ENSP00000310219
ENSG00000203747	FCGR3A	ENST00000367969	ENSP00000356946
ENSG00000203747	FCGR3A	ENST00000443193	ENSP00000392047
ENSG00000203747	FCGR3A	ENST00000436743	ENSP00000416607
ENSG00000203747	FCGR3A	ENST00000367967	ENSP00000356944
ENSG00000203747	FCGR3A	ENST00000540048	ENSP00000444971
ENSG00000072694	FCGR2B	ENST00000367962	ENSP00000356939
ENSG00000072694	FCGR2B	ENST00000367960	ENSP00000356937
ENSG00000072694	FCGR2B	ENST00000403078	ENSP00000386038
ENSG00000072694	FCGR2B	ENST00000428605	ENSP00000404329
ENSG00000072694	FCGR2B	ENST00000236937	ENSP00000236937
ENSG00000072694	FCGR2B	ENST00000367961	ENSP00000356938
ENSG00000072694	FCGR2B	ENST00000358671	ENSP00000351497
ENSG00000162747	FCGR3B	ENST00000367964	ENSP00000356941
ENSG00000162747	FCGR3B	ENST00000294800	ENSP00000294800
ENSG00000162747	FCGR3B	ENST00000531221	ENSP00000433642
ENSG00000132185	FCRLA	ENST00000236938	ENSP00000236938
ENSG00000132185	FCRLA	ENST00000367959	ENSP00000356936
ENSG00000132185	FCRLA	ENST00000546024	ENSP00000439838
ENSG00000132185	FCRLA	ENST00000540521	ENSP00000442870
ENSG00000132185	FCRLA	ENST00000367949	ENSP00000356926
ENSG00000132185	FCRLA	ENST00000350710	ENSP00000344808
ENSG00000132185	FCRLA	ENST00000540926	ENSP00000446380
ENSG00000132185	FCRLA	ENST00000367957	ENSP00000356934
ENSG00000132185	FCRLA	ENST00000349527	ENSP00000294798
ENSG00000132185	FCRLA	ENST00000309691	ENSP00000309596
ENSG00000132185	FCRLA	ENST00000294796	ENSP00000294796
ENSG00000132185	FCRLA	ENST00000367953	ENSP00000356930
ENSG00000132185	FCRLA	ENST00000367950	ENSP00000356927
ENSG00000162746	FCRLB	ENST00000367948	ENSP00000356925
ENSG00000162746	FCRLB	ENST00000367946	ENSP00000356923
ENSG00000162746	FCRLB	ENST00000367945	ENSP00000356922
ENSG00000162746	FCRLB	ENST00000336830	ENSP00000338598
ENSG00000162746	FCRLB	ENST00000367944	ENSP00000356921
ENSG00000162746	FCRLB	ENST00000392158	ENSP00000375999
ENSG00000081721	DUSP12	ENST00000367943	ENSP00000356920
ENSG00000118217	ATF6	ENST00000367942	ENSP00000356919
ENSG00000162745	OLFML2B	ENST00000294794	ENSP00000294794
ENSG00000162745	OLFML2B	ENST00000367940	ENSP00000356917
ENSG00000162745	OLFML2B	ENST00000367938	ENSP00000356915
ENSG00000198929	NOS1AP	ENST00000530878	ENSP00000431586
ENSG00000198929	NOS1AP	ENST00000361897	ENSP00000355133
ENSG00000198929	NOS1AP	ENST00000493151	ENSP00000434988
ENSG00000239887	C1orf226	ENST00000426197	ENSP00000413150
ENSG00000239887	C1orf226	ENST00000458626	ENSP00000437071
ENSG00000171722	C1orf111	ENST00000367935	ENSP00000356912
ENSG00000198574	SH2D1B	ENST00000367929	ENSP00000356906
ENSG00000198574	SH2D1B	ENST00000359567	ENSP00000352571
ENSG00000152332	UHMK1	ENST00000545294	ENSP00000441226
ENSG00000152332	UHMK1	ENST00000538489	ENSP00000446416
ENSG00000152332	UHMK1	ENST00000489294	ENSP00000420270
ENSG00000117143	UAP1	ENST00000367926	ENSP00000356903
ENSG00000117143	UAP1	ENST00000271469	ENSP00000271469
ENSG00000117143	UAP1	ENST00000367925	ENSP00000356902
ENSG00000117143	UAP1	ENST00000367924	ENSP00000356901
ENSG00000162733	DDR2	ENST00000367922	ENSP00000356899
ENSG00000162733	DDR2	ENST00000367921	ENSP00000356898
ENSG00000132196	HSD17B7	ENST00000367915	ENSP00000356892
ENSG00000132196	HSD17B7	ENST00000367917	ENSP00000356894
ENSG00000132196	HSD17B7	ENST00000254521	ENSP00000254521
ENSG00000132196	HSD17B7	ENST00000367913	ENSP00000356889
ENSG00000185860	C1orf110	ENST00000367912	ENSP00000356888
ENSG00000185860	C1orf110	ENST00000367911	ENSP00000356887
ENSG00000185860	C1orf110	ENST00000367910	ENSP00000356886
ENSG00000117152	RGS4	ENST00000421743	ENSP00000397181
ENSG00000117152	RGS4	ENST00000367909	ENSP00000356885
ENSG00000117152	RGS4	ENST00000531057	ENSP00000436106
ENSG00000117152	RGS4	ENST00000527809	ENSP00000433261
ENSG00000117152	RGS4	ENST00000367908	ENSP00000356884
ENSG00000117152	RGS4	ENST00000367906	ENSP00000356882
ENSG00000143248	RGS5	ENST00000313961	ENSP00000319308
ENSG00000143248	RGS5	ENST00000367903	ENSP00000356879
ENSG00000143248	RGS5	ENST00000530507	ENSP00000433001
ENSG00000143248	RGS5	ENST00000527988	ENSP00000432313
ENSG00000143228	NUF2	ENST00000524800	ENSP00000436888
ENSG00000143228	NUF2	ENST00000367900	ENSP00000356875
ENSG00000143228	NUF2	ENST00000271452	ENSP00000271452
ENSG00000185630	PBX1	ENST00000485769	ENSP00000473998
ENSG00000185630	PBX1	ENST00000420696	ENSP00000405890
ENSG00000185630	PBX1	ENST00000559240	ENSP00000453188
ENSG00000185630	PBX1	ENST00000367897	ENSP00000356872
ENSG00000185630	PBX1	ENST00000540236	ENSP00000439943
ENSG00000185630	PBX1	ENST00000401534	ENSP00000384856
ENSG00000185630	PBX1	ENST00000560641	ENSP00000452727
ENSG00000185630	PBX1	ENST00000540246	ENSP00000440869
ENSG00000162761	LMX1A	ENST00000342310	ENSP00000340226
ENSG00000162761	LMX1A	ENST00000294816	ENSP00000294816
ENSG00000162761	LMX1A	ENST00000367893	ENSP00000356868
ENSG00000143171	RXRG	ENST00000359842	ENSP00000352900
ENSG00000162763	LRRC52	ENST00000294818	ENSP00000294818
ENSG00000143198	MGST3	ENST00000367889	ENSP00000356864
ENSG00000143198	MGST3	ENST00000367888	ENSP00000356863
ENSG00000143198	MGST3	ENST00000367885	ENSP00000356860
ENSG00000143198	MGST3	ENST00000367884	ENSP00000356859
ENSG00000143198	MGST3	ENST00000367883	ENSP00000356858
ENSG00000143198	MGST3	ENST00000367886	ENSP00000356861
ENSG00000143149	ALDH9A1	ENST00000354775	ENSP00000346827
ENSG00000143149	ALDH9A1	ENST00000538148	ENSP00000440026
ENSG00000143183	TMCO1	ENST00000392129	ENSP00000375975
ENSG00000143183	TMCO1	ENST00000367881	ENSP00000356856
ENSG00000143183	TMCO1	ENST00000580248	ENSP00000462588
ENSG00000143183	TMCO1	ENST00000464650	ENSP00000463951
ENSG00000143179	UCK2	ENST00000367879	ENSP00000356853
ENSG00000143179	UCK2	ENST00000372212	ENSP00000361286
ENSG00000143179	UCK2	ENST00000469256	ENSP00000476692
ENSG00000143179	UCK2	ENST00000470820	ENSP00000476327
ENSG00000188859	FAM78B	ENST00000354422	ENSP00000346404
ENSG00000188859	FAM78B	ENST00000338353	ENSP00000339681
ENSG00000267884	AL626787.1	ENST00000595430	ENSP00000472192
ENSG00000143157	POGK	ENST00000537173	ENSP00000442763
ENSG00000143157	POGK	ENST00000536514	ENSP00000441187
ENSG00000143157	POGK	ENST00000367876	ENSP00000356850
ENSG00000143157	POGK	ENST00000367875	ENSP00000356849
ENSG00000152382	TADA1	ENST00000367874	ENSP00000356848
ENSG00000143195	ILDR2	ENST00000271417	ENSP00000271417
ENSG00000143195	ILDR2	ENST00000528703	ENSP00000432750
ENSG00000143195	ILDR2	ENST00000525740	ENSP00000436120
ENSG00000143195	ILDR2	ENST00000529387	ENSP00000431316
ENSG00000143195	ILDR2	ENST00000469934	ENSP00000437008
ENSG00000143195	ILDR2	ENST00000529071	ENSP00000436882
ENSG00000143195	ILDR2	ENST00000526687	ENSP00000434273
ENSG00000143194	MAEL	ENST00000367872	ENSP00000356846
ENSG00000143194	MAEL	ENST00000367870	ENSP00000356844
ENSG00000143167	GPA33	ENST00000367868	ENSP00000356842
ENSG00000198842	DUSP27	ENST00000361200	ENSP00000354483
ENSG00000198842	DUSP27	ENST00000271385	ENSP00000271385
ENSG00000198842	DUSP27	ENST00000443333	ENSP00000404874
ENSG00000143190	POU2F1	ENST00000367866	ENSP00000356840
ENSG00000143190	POU2F1	ENST00000429375	ENSP00000401217
ENSG00000143190	POU2F1	ENST00000452019	ENSP00000391523
ENSG00000143190	POU2F1	ENST00000420254	ENSP00000414660
ENSG00000143190	POU2F1	ENST00000541643	ENSP00000441285
ENSG00000143190	POU2F1	ENST00000367862	ENSP00000356836
ENSG00000198821	CD247	ENST00000362089	ENSP00000354782
ENSG00000198821	CD247	ENST00000392122	ENSP00000375969
ENSG00000143162	CREG1	ENST00000370509	ENSP00000359540
ENSG00000198771	RCSD1	ENST00000367854	ENSP00000356828
ENSG00000198771	RCSD1	ENST00000537350	ENSP00000439409
ENSG00000197965	MPZL1	ENST00000359523	ENSP00000352513
ENSG00000197965	MPZL1	ENST00000392121	ENSP00000375968
ENSG00000197965	MPZL1	ENST00000474859	ENSP00000420455
ENSG00000143199	ADCY10	ENST00000545172	ENSP00000441992
ENSG00000143199	ADCY10	ENST00000367851	ENSP00000356825
ENSG00000143199	ADCY10	ENST00000367848	ENSP00000356822
ENSG00000143199	ADCY10	ENST00000476818	ENSP00000475192
ENSG00000143158	MPC2	ENST00000367846	ENSP00000356820
ENSG00000143158	MPC2	ENST00000271373	ENSP00000271373
